จุดตั้งกล้อง,เขต,lattitude,longitude,นับกล้องต่อหนึ่งสถานที่,ใส่หน้ากาก,ใส่ไม่ถูกต้อง,ไม่ใส่หน้ากาก,รวม,ใส่หน้ากาก%,ใส่ไม่ถูกต้อง%,ไม่ใส่หน้ากาก%,note
ป้ายรถเมล์BTSอ่อนนุช,คลองเตย,13.7189146,100.5671855,1,4563,60,35,4658,97.96,1.29,0.75,
โรบินสันลาดหญ้า  ,คลองสาน,13.7286594,100.5010205,1,2008,127,170,2305,87.11,5.51,7.38,
ตลาดบางปะเเก้ว,จอมทอง,18.4204633,98.6724282,1,2884,213,110,3207,89.93,6.64,3.43,
แยกพหลโยธิน62,ดอนเมือง,13.9254892,100.5923206,1,2534,111,193,2838,89.29,3.91,6.80,
ตลาดทุ่งครุพลาซ่า,ทุ่งครุ,13.6472369,100.4957628,1,6391,120,51,6562,97.39,1.83,0.78,
สะพานจรัญ35,บางกอกน้อย,13.7548478,100.4693893,1,2803,118,36,2957,94.79,3.99,1.22,
ปากซอยจรัญฯ4,บางกอกใหญ่,13.7293581,100.474136,1,1708,58,76,1842,92.73,3.15,4.13,
ซอยรามคำเเหง53,บางกะปิ,13.7627585,100.6455972,1,3795,121,141,4057,93.54,2.98,3.48,
ตลาดส.มีสุข,บางขุุนเทียน,13.6423982,100.4106328,1,2709,72,63,2844,95.25,2.53,2.22,
ตลาดยิ่งเจริญ,บางเขน,13.864387,100.6146434,1,1907,45,31,1983,96.17,2.27,1.56,
สะพานลอยวัดบางโคล่นอก,บางคอแหลม,13.6896155,100.5094777,1,420,26,25,471,89.17,5.52,5.31,
ทางเข้าม.เศรษฐกิจ,บางแค,13.7097613,100.3958909,1,4510,78,57,4645,97.09,1.68,1.23,
เซ็นทรัลบางนา,บางนา,13.663853,100.6132453,1,12055,339,124,12518,96.30,2.71,0.99,
ตลาดพงษ์ทรัพย์,บางพลัด,13.7845903,100.4945447,1,4881,183,139,5203,93.81,3.52,2.67,
ถนนเจริญกรุง30 ,บางรัก,13.7262438,100.5281812,1,1622,79,73,1774,91.43,4.45,4.11,
ถนนราชดำริ2,ปทุมวัน,13.746183,100.5307787,1,6930,245,99,7274,95.27,3.37,1.36,
BTSสนามเป้า,พญาไท,13.7807784,100.5450702,1,2254,29,29,2312,97.49,1.25,1.25,
เพชรเกษม36,ภาษีเจริญ,13.7239706,100.438497,1,2107,72,96,2275,92.62,3.16,4.22,
บุญมีปุรุราชรังสรรค์,ยานนาวา,13.6943097,100.5393642,1,423,53,76,552,76.63,9.60,13.77,
แนวถนนพญาไท1,ราชเทวี,13.757966,100.5345012,1,2043,44,35,2122,96.28,2.07,1.65,
ตลาดบางปะกอก,#REF!,13.6715197,100.5087772,1,3261,92,84,3437,94.88,2.68,2.44,
เคหะร่มเกล้าซอย6,ลาดกระบัง,13.7505781,100.7943199,1,836,28,38,902,92.68,3.10,4.21,
ตลาดเอี่ยมสมบัติ,สวนหลวง,13.7355472,100.6409673,1,2859,145,68,3072,93.07,4.72,2.21,
ถนนเยาวราช1,สัมพันธวงศ์,13.736151,100.5135894,1,3055,110,165,3330,91.74,3.30,4.95,
ร.พ.เซ็นต์หลุยส์,สาทร,13.7150398,100.5335358,1,1626,88,118,1832,88.76,4.80,6.44,
ตลาดนัดวัดอุดมรังสี,หนองแขม,13.7054329,100.3432355,1,2941,72,81,3094,95.05,2.33,2.62,
ตลาดศรีย่าน,ดุสิต,13.7818255,100.5180863,1,1144,27,44,1215,94.16,2.22,3.62,
KTBสาขาสะพานขาว,ป้อมปราบศัตรูพ่าย,13.7514954,100.5108479,1,819,24,39,882,92.86,2.72,4.42,
ถนนราชดำเนินกลาง,พระนคร,13.8779715,100.5898361,1,1440,84,47,1571,91.66,5.35,2.99,